# key	status	primaryFile	route	reason	bp
# Lane governance-explorer, wave 39, 2026-09-09. Owns src/pages/explorer/**, src/pages/defi/**, src/components/learn/**.
# Page "Governance and Utilities" (3sSzw1KewMtUbeLAv7uW0r, page 5210:118077) entered scope today; 428 of these 569
# frames had never been triaged. This file is a FIRST PASS over the whole assignment plus a measured build of the
# explorer dashboard cluster. Every row states which of the two it is. Sizes are read from live/ (harvest of 2026-09-09).
#
# NO BROWSER WAS USED. Column 6 is present only on rows this lane measured against the frame from source; a verdict
# there is a SOURCE verdict, never a render verdict. Rows marked FIRST PASS carry no column 6, so they read unknown at
# every width, which is the truth.
#
# Frames whose implementing file belongs to another lane (governance-account: src/components/governance, src/components/
# account, src/pages/account, src/components/notifications; and everything under src/pages/vault, src/pages/sports,
# src/pages/social, src/pages/rewards, src/pages/Airdrop.tsx, src/pages/GaugeVoting.tsx, src/pages/YieldVault*.tsx,
# src/pages/learn/index.tsx, src/components/home-redesign) are rowed with their carried status and NOT edited.
Account > Account settings > Security > 2FA > SMS [11301-127843]	not-started	src/services/security/twoFactorService.ts	/account?tab=security (would be the dialog's second tab)	TOTP-only service; no SMS rail exists (1440x900). Lane governance-account's file.
Explorer > Address > Staking (375 x 812px)) [11998-346238]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (375x1476). The page draws Overview / Holdings / Lending only. A staking-positions read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Airdrop - not eligible > wallets 1VH [11667-310237]	not-started	src/pages/Airdrop.tsx	/airdrop	No wallets sub-panel on the not-eligible state (768x1024). src/pages/Airdrop.tsx is not this lane's file.
Airdrop - not eligible > wallets 1VH [11667-310501]	not-started	src/pages/Airdrop.tsx	/airdrop	No wallets sub-panel on the not-eligible state (375x812). src/pages/Airdrop.tsx is not this lane's file.
Earn > Stake 1VH [11972-152545]	not-started	src/pages/defi/Earn.tsx	/earn	No Stake flow exists under /earn (768x1024); the opportunities tab lists cards and no per-opportunity action. Nearest: there is none.
Earn > Stake > confirm stake 1VH [11972-153216]	not-started	src/pages/defi/Earn.tsx	/earn	No Stake flow exists under /earn (768x1024); the opportunities tab lists cards and no per-opportunity action. Nearest: there is none.
Earn > Stake 1VH [12003-383790]	not-started	src/pages/defi/Earn.tsx	/earn	No Stake flow exists under /earn (375x812); the opportunities tab lists cards and no per-opportunity action. Nearest: there is none.
Earn > Stake > confirm stake 1VH [12003-384268]	not-started	src/pages/defi/Earn.tsx	/earn	No Stake flow exists under /earn (375x812); the opportunities tab lists cards and no per-opportunity action. Nearest: there is none.
Governance > Proposals > Delegation > Delegate modal 1VH (375 x 812px)) [11907-138358]	not-started	src/pages/defi/Governance.tsx	/governance	No delegation modal exists on /governance (375x812). Nearest: src/pages/defi/Governance.tsx (this lane's file); a delegate write path on the chain was not verified this wave.
Explorer > Address > Staking 1VH [5662-124997]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (1440x1236). The page draws Overview / Holdings / Lending only. A staking-positions read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Perps 1VH [5661-118252]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (1440x1330). The page draws Overview / Holdings / Lending only. A perp-positions read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Orders 1VH [5662-120139]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (1440x1330). The page draws Overview / Holdings / Lending only. A open-orders read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Orders 1VH [5662-122540]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (1440x1330). The page draws Overview / Holdings / Lending only. A open-orders read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Others 1VH [5664-127738]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (1440x1757). The page draws Overview / Holdings / Lending only. A misc read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Learn > Skai university 1VH [5411-117451]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (1440x900); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Purchase modal 1VH [5443-69711]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (1440x900); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university - about [5442-39147]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (1440x1455); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased [5443-69253]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (1440x1960); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased [5446-86451]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (1440x1661); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Articles > Create article - empty [5480-20528]	not-started	src/pages/help/HelpCenter.tsx	/help	No Articles surface exists under /learn (1440x900); /help/:category is the Help Center, a different product. Nothing in src/components/learn draws an article list or editor.
Learn > Articles > Create article [5480-21556]	not-started	src/pages/help/HelpCenter.tsx	/help	No Articles surface exists under /learn (1440x900); /help/:category is the Help Center, a different product. Nothing in src/components/learn draws an article list or editor.
Learn > Articles > Create article [5480-21885]	not-started	src/pages/help/HelpCenter.tsx	/help	No Articles surface exists under /learn (1440x1692); /help/:category is the Help Center, a different product. Nothing in src/components/learn draws an article list or editor.
Learn > Skai university > Sample course > Purchased > Sample video [5446-83004]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (1440x1410); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased > Sample video - show transcript [5446-85963]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (1440x1779); /learn renders lessons and a community tab only. Nearest: there is none.
Governance > Proposals > Delegation > Delegate modal 1VH [5385-75416]	not-started	src/pages/defi/Governance.tsx	/governance	No delegation modal exists on /governance (1440x900). Nearest: src/pages/defi/Governance.tsx (this lane's file); a delegate write path on the chain was not verified this wave.
Learn > Skai university > Articles 1VH [5480-22549]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (1440x900); /learn renders lessons and a community tab only. Nearest: there is none.
Explorer > Address > Perps [11991-234861]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (768x1490). The page draws Overview / Holdings / Lending only. A perp-positions read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Orders [11991-236086]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (768x1558). The page draws Overview / Holdings / Lending only. A open-orders read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Orders [11991-237411]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (768x1343). The page draws Overview / Holdings / Lending only. A open-orders read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Staking [11992-238368]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (768x1380). The page draws Overview / Holdings / Lending only. A staking-positions read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Others [11992-239733]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (768x1925). The page draws Overview / Holdings / Lending only. A misc read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Perps [11998-342710]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (375x1502). The page draws Overview / Holdings / Lending only. A perp-positions read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Orders [11998-343923]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (375x1568). The page draws Overview / Holdings / Lending only. A open-orders read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Orders [11998-345258]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (375x1342). The page draws Overview / Holdings / Lending only. A open-orders read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Explorer > Address > Others [11998-347934]	not-started	src/pages/explorer/AddressDetailPage.tsx	/explorer/address/:address	No such tab on the address page (375x2136). The page draws Overview / Holdings / Lending only. A misc read per address is needed first; whether the chain RPC exposes one was not verified this wave.
Learn > Articles > Create article - empty 1VH [11764-347374]	not-started	src/pages/help/HelpCenter.tsx	/help	No Articles surface exists under /learn (768x1024); /help/:category is the Help Center, a different product. Nothing in src/components/learn draws an article list or editor.
Learn > Articles > Create article 1VH [11764-347974]	not-started	src/pages/help/HelpCenter.tsx	/help	No Articles surface exists under /learn (768x1024); /help/:category is the Help Center, a different product. Nothing in src/components/learn draws an article list or editor.
Learn > Articles > Create article [11764-348102]	not-started	src/pages/help/HelpCenter.tsx	/help	No Articles surface exists under /learn (768x1409); /help/:category is the Help Center, a different product. Nothing in src/components/learn draws an article list or editor.
Governance > Proposals > Delegation > Delegate modal 1VH [11902-123338]	not-started	src/pages/defi/Governance.tsx	/governance	No delegation modal exists on /governance (768x1024). Nearest: src/pages/defi/Governance.tsx (this lane's file); a delegate write path on the chain was not verified this wave.
Learn > Skai university - about [11720-329924]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (768x1510); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Purchase modal 1VH [11731-334936]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (768x1024); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased > Sample video 1VH [11743-337927]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (768x1024); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased > Sample video - show transcript [11743-338537]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (768x1247); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased [11736-336798]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (768x1856); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased [11747-338776]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (768x1247); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university - about 1VH [11720-330741]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (768x1024); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university - courses [11730-332652]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (768x1127); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university - courses 1VH [11730-332229]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (768x1024); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Articles [11764-348558]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (768x1127); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Articles > Create article - empty 1VH [12141-453691]	not-started	src/pages/help/HelpCenter.tsx	/help	No Articles surface exists under /learn (375x812); /help/:category is the Help Center, a different product. Nothing in src/components/learn draws an article list or editor.
Learn > Articles > Create article [12141-454982]	not-started	src/pages/help/HelpCenter.tsx	/help	No Articles surface exists under /learn (375x1350); /help/:category is the Help Center, a different product. Nothing in src/components/learn draws an article list or editor.
Learn > Articles > Create article 1VH [12141-454200]	not-started	src/pages/help/HelpCenter.tsx	/help	No Articles surface exists under /learn (375x812); /help/:category is the Help Center, a different product. Nothing in src/components/learn draws an article list or editor.
Learn > Skai university - about [11894-102948]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (375x1376); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased [11897-108098]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (375x2280); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased [11939-142514]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (375x1282); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased > Sample video 1VH [11939-141290]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (375x812); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Sample course > Purchased > Sample video - show transcript [11945-94473]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (375x1137); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Purchase modal 1VH [11896-106898]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (375x812); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university - courses [11894-103839]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (375x1773); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university > Articles [12141-455088]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (375x1824); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university 1VH [11894-104173]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (375x812); /learn renders lessons and a community tab only. Nearest: there is none.
Learn > Skai university 1VH [11894-104346]	not-started	src/pages/learn/index.tsx	/learn	No Skai university surface exists (375x812); /learn renders lessons and a community tab only. Nearest: there is none.
Earn > Faucet > Winners > Share outcome 1VH [12225-461211]	not-started	nearest	blocked - no share affordance on the lottery	No implementing code (768x1024). Nearest: nearest is src/components/home-redesign/portfolio/SharePortfolioModal.tsx, which is a different card and a different trigger. FIRST PASS, NOT OPENED THIS WAVE.
Earn > Faucet > Winners > Share outcome 1VH [12225-462288]	not-started	nearest	blocked - no share affordance on the lottery	No implementing code (375x812). Nearest: nearest is src/components/home-redesign/portfolio/SharePortfolioModal.tsx, which is a different card and a different trigger. FIRST PASS, NOT OPENED THIS WAVE.
Earn > Faucet > Winners > Share outcome [12225-462758]	not-started	nearest	blocked - no share affordance on the lottery	No implementing code (375x960). Nearest: nearest is src/components/home-redesign/portfolio/SharePortfolioModal.tsx, which is a different card and a different trigger. FIRST PASS, NOT OPENED THIS WAVE.
Earn > My positions > View details 1VH [11978-169460]	not-started	neither	blocked - no trigger exists	No implementing code (768x1024). Nearest: neither the Activity table nor the details drawer is built. FIRST PASS, NOT OPENED THIS WAVE.
Earn > My positions > View details 1VH [12003-387432]	not-started	neither	blocked - no trigger exists	No implementing code (375x812). Nearest: neither the Activity table nor the details drawer is built. FIRST PASS, NOT OPENED THIS WAVE.
Account > Performance overview > Share networth [11267-123785]	partial	src/components/home-redesign/portfolio/SharePortfolioModal.tsx	blocked on 5523-103993	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/components/home-redesign/portfolio/SharePortfolioModal.tsx renders this surface (1440x900, 1440 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Account > Performance overview > Share networth 1VH [12082-420596]	partial	src/components/home-redesign/portfolio/SharePortfolioModal.tsx	blocked on 5523-103993	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/components/home-redesign/portfolio/SharePortfolioModal.tsx renders this surface (375x812, 375 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Account > Performance overview > Share networth 1VH [12082-421041]	partial	src/components/home-redesign/portfolio/SharePortfolioModal.tsx	blocked on 5523-103993	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/components/home-redesign/portfolio/SharePortfolioModal.tsx renders this surface (375x960, 375 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Account > Performance overview > Share networth 1VH [12080-420150]	partial	src/components/home-redesign/portfolio/SharePortfolioModal.tsx	blocked on 5523-103993	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/components/home-redesign/portfolio/SharePortfolioModal.tsx renders this surface (768x1024, 768 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
dropdown-yield vaults [11259-40697]	blocked-on-backend	modules/skai-ui/src (DropdownMenu / Select)	-	Component fragment "dropdown-yield vaults", 160x260: a state of the shared dropdown primitive; not this lane's file to edit. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "dropdown-yield vaults" 160x260, text: 1 year | 6 months | 1 month | 1 week | 24 hours | 6 hours | 30 mins; beside 11667:312902 Yield vaults 1VH (768). -> blocked-on-backend: the open timeframe menu (1 year ... 30 mins) of the yield vault chart. Missing piece: a historical vault series - the contracts expose none (src/pages/YieldVaultDetail.tsx:10) and no vault snapshot relation exists in supabase/migrations.
dropdown-yield vaults [11260-123547]	not-started	modules/skai-ui/src (DropdownMenu / Select)	-	Component fragment "dropdown-yield vaults", 163x198: a state of the shared dropdown primitive; not this lane's file to edit. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "dropdown-yield vaults" 163x198, text: All gauges | Epoch #0 | Epoch #1 | Epoch #2 | Epoch #3; beside 5515:96095 Gauge voting 1VH (1440). -> not-started: the open epoch filter (All gauges / Epoch #0 ... #3) on Gauge voting; not drawn (src/pages/GaugeVoting.tsx:312-329: GaugeWeightsTable filters to active gauges itself). Past-epoch totals are readable (getGaugeVotes, src/hooks/defi/useBribeClaims.ts:74-75), so this is buildable.
Frame 270 [11989-231980]	partial	-	-	Loose top-level fragment named "Frame 270", 1094x660, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 270" of 1094x660 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 270" 1094x660, text: Hash | Method | Token | From | To | Amount | Price | $ Value | Date; beside 11989:231104 Explorer > Address (768). -> partial: the address page's transactions table at its full scroll width; built as TransactionTable in src/pages/explorer/AddressDetailPage.tsx:596 inside an overflow-x-auto wrapper. The scroll extent at this board is not measured.
Frame 1000003943 [11998-339138]	partial	-	-	Loose top-level fragment named "Frame 1000003943", 1054x658, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003943" of 1054x658 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003943" 1054x658, text: Hash | Method | Token | From | To | Amount | Price | $ Value | Date; beside 11998:337508 Explorer > Address (375). -> partial: the address page's transactions table at its full scroll width; built as TransactionTable in src/pages/explorer/AddressDetailPage.tsx:596 inside an overflow-x-auto wrapper. The scroll extent at this board is not measured.
Transactions - with arrow [11349-147772]	partial	src/pages/explorer/AddressDetailPage.tsx	-	Component fragment "Transactions - with arrow", 1318x758: an explorer address-page section state in this lane's directory. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Transactions - with arrow" 1318x758, text: Hash | Method | Token | From | To | Amount | Price | $ Value | Date | 0xAd4...323 | SKAIUSDC; beside 5638:112382 Explorer > Address 1VH (1440). -> partial: the address page's transactions table at its full scroll width; built as TransactionTable in src/pages/explorer/AddressDetailPage.tsx:596 inside an overflow-x-auto wrapper. The scroll extent at this board is not measured.
Frame 1000003927 [11991-233583]	partial	-	-	Loose top-level fragment named "Frame 1000003927", 854x582, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003927" of 854x582 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003927" 854x582, text: Net worth (USD) $60,801.98 | Net worth (SKAI) | NFTs View all NFTs | Delegated to you | Token; beside 11989:232490 Explorer > Address > Holdings (768). -> partial: the Holdings tab's net-worth strip and token / NFT lists; built as HoldingsTab in src/pages/explorer/AddressDetailPage.tsx:1103 (and TokenHoldingsCard :403). Not measured at this cut.
Frame 1000003944 [11998-340705]	partial	-	-	Loose top-level fragment named "Frame 1000003944", 814x658, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003944" of 814x658 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003944" 814x658, text: Net worth (USD) | Net worth (SKAI) | NFTs | Delegated to you; beside 11998:341045 Explorer > Address > Holdings (375). -> partial: the Holdings tab's net-worth strip and token / NFT lists; built as HoldingsTab in src/pages/explorer/AddressDetailPage.tsx:1103 (and TokenHoldingsCard :403). Not measured at this cut.
Frame 1000003947 [11998-342147]	partial	-	-	Loose top-level fragment named "Frame 1000003947", 343x1026, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003947" of 343x1026 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003947" 343x1026, text: Net worth (USD) | Net worth (SKAI) | NFTs | Delegated to you (Frame 414 319x188 + backgrounds 319x798); beside 11998:341045 Explorer > Address > Holdings (375). -> partial: the Holdings tab's net-worth strip and token / NFT lists; built as HoldingsTab in src/pages/explorer/AddressDetailPage.tsx:1103 (and TokenHoldingsCard :403). Not measured at this cut.
Frame 1000003928 [11991-234531]	partial	-	-	Loose top-level fragment named "Frame 1000003928", 708x568, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003928" of 708x568 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003928" 708x568, text: Net worth (USD) | Net worth (SKAI) | Tokens View all tokens | Delegated to you | Cupcat Kitten #101; beside 11989:232490 Explorer > Address > Holdings (768). -> partial: the Holdings tab's net-worth strip and token / NFT lists; built as HoldingsTab in src/pages/explorer/AddressDetailPage.tsx:1103 (and TokenHoldingsCard :403). Not measured at this cut.
Frame 1000003932 [11992-238265]	partial	-	-	Loose top-level fragment named "Frame 1000003932", 854x278, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003932" of 854x278 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003932" 854x278, text: Staked $10,300.00 | Staking balance | Pending withdrawals | Delegated to you | Pool; beside 11992:238368 Explorer > Address > Staking (768). -> partial: the Staking tab's summary and positions; built as the staking PositionSlice over the DeFi position feed (src/pages/explorer/AddressDetailPage.tsx:830, :1654). The summary tiles are not measured.
Frame 1000003952 [11998-346606]	partial	-	-	Loose top-level fragment named "Frame 1000003952", 814x362, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003952" of 814x362 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003952" 814x362, text: Staked | Staking balance | Pending withdrawals | Delegated to you; beside 11998:346238 Explorer > Address > Staking (375). -> partial: the Staking tab's summary and positions; built as the staking PositionSlice over the DeFi position feed (src/pages/explorer/AddressDetailPage.tsx:830, :1654). The summary tiles are not measured.
