# bug-node-index.tsv - LAYER D: every Figma node-id referenced by an OPEN bug report,
# resolved to {type, name, depth, owning screen, page, catalog section}.
#
# Built 2026-08-13 from: open bug_reports (status in new/needs_info/backlog/reopened/in_progress)
# with a non-empty figma_link -> 488 reports / 445 distinct links / 430 distinct (fileKey,node) pairs.
# Resolution method: figma.getNodeByIdAsync(id), then walk .parent to the PAGE and record the
# last node before it as the owning screen. This is the layer-D method CATALOG_DESIGN.md specifies.
#
# WHY THIS FILE EXISTS: the catalog indexes top-level children of a page (whole screens), but
# reporters link to the thing that is wrong - a panel, modal or button nested 1-12 levels deep.
# Before this file, 332 of 430 bug-linked nodes (77%) resolved to nothing in the catalog.
#
# status column:
#   screen   = the link points at a catalogued top-level screen (depth 0)
#   child    = a descendant of a catalogued screen, resolved in the file the link named
#   retarget = resolved in a DIFFERENT file than the link named - the link file key is STALE.
#              Use resolvedFileKey, not linkFileKey. See FILE_ROUTING.md.
#   alias    = already covered by a bugref-aliases.tsv row
#   gone     = resolves in NEITHER product file NOR the Games file. Deleted upstream in Figma.
#              Verified twice, via getNodeByIdAsync and via get_metadata. Do not treat these as
#              a coverage gap and do not go looking for them - the design node no longer exists.
#
# 2026-08-13 CORRECTION (wave-4 trench lane): four rows below were marked `alias` onto
#   parents 9899-106438 / 9896-104373 / 9893-94731. Those PARENTS do not resolve either.
#   Probed with figma.getNodeByIdAsync on BOTH product files, with 13006-212012 /
#   13006-210578 as a positive control (both found, page '✅ Trade 2'). All seven ids
#   returned null in both files, so 9899-106439 / 9899-106541 / 9902-114827 /
#   9902-115168 are now `gone`. An `alias` row whose target is itself dead sends the
#   next reader looking for a frame that does not exist.
# depth = levels between the referenced node and its owning screen (0 = the screen itself).
# openRefs = number of OPEN bug reports pointing at this (linkFileKey,node) pair.
#
refNode	linkFileKey	resolvedFileKey	status	section	type	name	depth	page	owningScreenNode	owningScreenTitle	openRefs
6419-45431	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	Frame 186	2	✅ Home 1	6415-45113	Skai > Home 1VH (375 x 812px)	1
6419-45467	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	Frame 41	2	✅ Home 1	6415-45113	Skai > Home 1VH (375 x 812px)	1
6419-45946	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	Frame 401	4	✅ Home 1	6419-45553	Skai > Home 1VH ALT (375 x 812px)	1
6704-28468	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	card	5	✅ Home 1	6704-27342	Skai > Home > AI Feed - empty 1VH (375 x 812px)	1
6736-39218	3sSzw1KewMtUbeLAv7uW0r	mhF3BkzlTaGiLzJ7kvpmVc	retarget	home	FRAME	main	1	✅ Home 1	6736-39216	Skai > Home > Add > upload image 1VH (768 x 1024px)	1
13008-112049	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	Right menu	1	✅ Home 2	13008-111656	Skai > Home > Whales > filter - custom input 1VH (1440 x 900px)	1
13008-112375	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	INSTANCE	CTA/button	7	✅ Home 2	13008-112079	Skai > Home > Whales 1VH (1440 x 900px)	1
13008-113316	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	card	1	✅ Home 2	13008-113198	Plans - long view	1
13008-114061	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	Frame 278	6	✅ Home 2	13008-114000	Skai > Pro > checkout 1VH ALT (1440 x 900px)	1
13008-114094	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	INSTANCE	icons/tiers	8	✅ Home 2	13008-114086	Skai > Pro - expanded (1440 x 900px)	1
13008-114136	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	INSTANCE	icons/tiers	8	✅ Home 2	13008-114086	Skai > Pro - expanded (1440 x 900px)	1
13008-114177	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	INSTANCE	icons/tiers	8	✅ Home 2	13008-114086	Skai > Pro - expanded (1440 x 900px)	1
13008-114218	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	INSTANCE	icons/tiers	8	✅ Home 2	13008-114086	Skai > Pro - expanded (1440 x 900px)	1
13008-114260	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	INSTANCE	icons/tiers	8	✅ Home 2	13008-114086	Skai > Pro - expanded (1440 x 900px)	1
13008-114298	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	INSTANCE	icons/tiers	8	✅ Home 2	13008-114086	Skai > Pro - expanded (1440 x 900px)	1
13008-115790	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	modal	2	✅ Home 2	13008-115463	Skai > Home > Whales > Wallet manager > Import wallet 1VH (1440 x 900px)	1
13008-115805	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	Frame 373	5	✅ Home 2	13008-115463	Skai > Home > Whales > Wallet manager > Import wallet 1VH (1440 x 900px)	1
13008-115809	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	INSTANCE	input/primary-inputs	4	✅ Home 2	13008-115463	Skai > Home > Whales > Wallet manager > Import wallet 1VH (1440 x 900px)	1
13008-115810	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	Frame 559	4	✅ Home 2	13008-115463	Skai > Home > Whales > Wallet manager > Import wallet 1VH (1440 x 900px)	1
13008-115845	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	Frame 444	3	✅ Home 2	13008-115820	Skai > Home > Whales > Live trades 1VH (1440 x 900px)	1
13008-115961	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	Frame 594	9	✅ Home 2	13008-115820	Skai > Home > Whales > Live trades 1VH (1440 x 900px)	1
13008-116900	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	Frame 337	1	✅ Home 2	13008-116645	Skai > Home > Whales - no data > Add wallet 1VH (1440 x 900px)	1
13008-117800	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	main	1	✅ Home 2	13008-117799	Skai > Home > Agentic support - Backtesting > conversation 6 1VH (1440 x 900px)	1
13008-118510	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	child	home-2	FRAME	Frame 1009	5	✅ Home 2	13008-118480	Skai > Home > Agentic support - Backtesting > conversation 6 (1440 x 900px)	1
13008-118798	mhF3BkzlTaGiLzJ7kvpmVc	mhF3BkzlTaGiLzJ7kvpmVc	screen	home-2	(catalogued frame)	Skai > Home > Agentic support - Backtesting > conversation 6 > Replicate Sample Strategy > Custom code > Chart sample 1VH (1440 x 900px)	0	✅ Home 2	13008-118798	Skai > Home > Agentic support - Backtesting > conversation 6 > Replicate Sample Strategy > Custom code > Chart sample 1VH (1440 x 900px)	1
9163-5404	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	mines	FRAME	main	6	✅ Mines - Skai originals	9163-4859	Skai > Play > Casino > Dice (1440 x 900px)	1
2005-12217	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	onboarding	(catalogued frame)	Skai > Onboarding > Get early access > Verification - with input 1VH (1440 x 900px)	0	✅ Onboarding and Authentication	2005-12217	Skai > Onboarding > Get early access > Verification - with input 1VH (1440 x 900px)	1
2065-110	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	onboarding	(catalogued frame)	Skai > Temporary landing 1VH (1440 x 900px)	0	✅ Onboarding and Authentication	2065-110	Skai > Temporary landing 1VH (1440 x 900px)	1
2086-28860	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	onboarding	(catalogued frame)	Skai > Temporary landing > Login 1VH (1440 x 900px)	0	✅ Onboarding and Authentication	2086-28860	Skai > Temporary landing > Login 1VH (1440 x 900px)	1
2422-2943	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	onboarding	(catalogued frame)	Skai > Onboarding > Get early access > Verification > Choose wallet > Link wallet > Reserve name > Congratulations - Slide 2 > Pre-launch dashboard Live 1VH (1440 x 900px)	0	✅ Onboarding and Authentication	2422-2943	Skai > Onboarding > Get early access > Verification > Choose wallet > Link wallet > Reserve name > Congratulations - Slide 2 > Pre-launch dashboard Live 1VH (1440 x 900px)	1
4595-50012	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	sidebar	1	✅ Play	4595-49807	Skai > Play 1VH (1440 x 900px)	1
4601-61604	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Frame 604	3	✅ Play	4595-49807	Skai > Play 1VH (1440 x 900px)	1
4601-61631	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Frame 455	3	✅ Play	4595-49807	Skai > Play 1VH (1440 x 900px)	1
4623-65447	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	internal	3	✅ Play	4623-65430	sidebar - open casino	1
4711-28435	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	main	1	✅ Play	4711-28434	Skai > Play > Casino (1440 x 900px)	1
4714-32435	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Main container	4	✅ Play	4711-28434	Skai > Play > Casino (1440 x 900px)	1
4714-32714	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Main container	4	✅ Play	4711-28434	Skai > Play > Casino (1440 x 900px)	1
4765-64029	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play - dropdown 1VH (1440 x 900px)	0	✅ Play	4765-64029	Skai > Play - dropdown 1VH (1440 x 900px)	1
4765-64039	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Frame 604	3	✅ Play	4765-64029	Skai > Play - dropdown 1VH (1440 x 900px)	1
4765-64067	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	card	4	✅ Play	4765-64029	Skai > Play - dropdown 1VH (1440 x 900px)	1
4765-64077	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	card	4	✅ Play	4765-64029	Skai > Play - dropdown 1VH (1440 x 900px)	1
4765-64087	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Frame 605	3	✅ Play	4765-64029	Skai > Play - dropdown 1VH (1440 x 900px)	1
4765-64116	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Main container	4	✅ Play	4765-64029	Skai > Play - dropdown 1VH (1440 x 900px)	1
4765-64829	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	sidebar	1	✅ Play	4765-64029	Skai > Play - dropdown 1VH (1440 x 900px)	1
4765-65172	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	dropdown	1	✅ Play	4765-64029	Skai > Play - dropdown 1VH (1440 x 900px)	1
4792-35540	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	main	1	✅ Play	4792-34490	Skai > Play > Casino > Bookie - tiers (1440 x 900px)	1
4798-57447	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	main	1	✅ Play	4798-57445	Skai > Play > Casino > Bookie - referral (1440 x 900px)	1
4799-60925	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook 1VH (1440 x 900px)	0	✅ Play	4799-60925	Skai > Play > Sportsbook 1VH (1440 x 900px)	1
4841-72059	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook (1440 x 900px)	0	✅ Play	4841-72059	Skai > Play > Sportsbook (1440 x 900px)	1
4851-78844	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Bet slip - empty	0	✅ Play	4851-78844	Bet slip - empty	1
4865-79010	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Bet slip - with values	0	✅ Play	4865-79010	Bet slip - with values	1
4891-82125	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Bet slip - combined - elongated	0	✅ Play	4891-82125	Bet slip - combined - elongated	1
4891-82254	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Bet slip - normal	0	✅ Play	4891-82254	Bet slip - normal	1
4892-82479	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Bet slip - combined - results / win	0	✅ Play	4892-82479	Bet slip - combined - results / win	1
4892-82761	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Quick bet - with values	0	✅ Play	4892-82761	Quick bet - with values	1
4892-82838	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Bet slip - combined - results / loss	0	✅ Play	4892-82838	Bet slip - combined - results / loss	1
4896-83198	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Bet slip - system - elongated	0	✅ Play	4896-83198	Bet slip - system - elongated	1
4896-83645	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook > My bets - empty (1440 x 900px)	0	✅ Play	4896-83645	Skai > Play > Sportsbook > My bets - empty (1440 x 900px)	1
4896-86320	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Quick bet - ALT colour	0	✅ Play	4896-86320	Quick bet - ALT colour	1
4896-86341	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook > Bet notifcation 1VH (1440 x 900px)	0	✅ Play	4896-86341	Skai > Play > Sportsbook > Bet notifcation 1VH (1440 x 900px)	1
4911-89112	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	content	0	✅ Play	4911-89112	content	1
4911-92925	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook > Starting soon (1440 x 900px)	0	✅ Play	4911-92925	Skai > Play > Sportsbook > Starting soon (1440 x 900px)	1
4913-97944	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook > Side panel - Lawn tennis (1440 x 900px)	0	✅ Play	4913-97944	Skai > Play > Sportsbook > Side panel - Lawn tennis (1440 x 900px)	1
9099-146833	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Main container	4	✅ Play	9099-146637	Skai > Play (1440 x 900px)	1
9099-147294	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Frame 641	4	✅ Play	9099-146637	Skai > Play (1440 x 900px)	1
9099-147398	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Scroll bar 3	1	✅ Play	9099-146637	Skai > Play (1440 x 900px)	1
9103-161891	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Frame 521	2	✅ Play	9099-146637	Skai > Play (1440 x 900px)	1
9112-13226	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	card	4	✅ Play	4711-28434	Skai > Play > Casino (1440 x 900px)	1
9112-13278	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Scroll bar 3	1	✅ Play	4711-28434	Skai > Play > Casino (1440 x 900px)	1
9113-76099	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Frame 346	5	✅ Play	4711-28434	Skai > Play > Casino (1440 x 900px)	1
9170-113296	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	card with tool tip	0	✅ Play	9170-113296	card with tool tip	1
9170-114084	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook > Soccer > AVL CHE (1440 x 900px)	0	✅ Play	9170-114084	Skai > Play > Sportsbook > Soccer > AVL CHE (1440 x 900px)	1
9170-12768	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	play	FRAME	Scroll bar 3	1	✅ Play	4765-64029	Skai > Play - dropdown 1VH (1440 x 900px)	1
9170-81771	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook > Bet slip settings 1VH (1440 x 900px)	0	✅ Play	9170-81771	Skai > Play > Sportsbook > Bet slip settings 1VH (1440 x 900px)	1
9185-15853	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	card - state 2	0	✅ Play	9185-15853	card - state 2	1
9185-15873	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	card - state 1	0	✅ Play	9185-15873	card - state 1	1
9191-105864	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook - right sidepanel / betslip ALT 1VH (1440 x 900px)	0	✅ Play	9191-105864	Skai > Play > Sportsbook - right sidepanel / betslip ALT 1VH (1440 x 900px)	1
9215-15732	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Skai > Play > Sportsbook > Soccer > AVL CHE > Player props (1440 x 900px)	0	✅ Play	9215-15732	Skai > Play > Sportsbook > Soccer > AVL CHE > Player props (1440 x 900px)	1
9215-17213	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Game view - not started	0	✅ Play	9215-17213	Game view - not started	1
9227-16083	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Game view - not started 2	0	✅ Play	9227-16083	Game view - not started 2	1
9227-73346	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Game view - in play	0	✅ Play	9227-73346	Game view - in play	1
9227-73494	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Game view - in play	0	✅ Play	9227-73494	Game view - in play	1
9227-73572	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Game view - in play	0	✅ Play	9227-73572	Game view - in play	1
9227-73669	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Game view - not started 3 - tilt	0	✅ Play	9227-73669	Game view - not started 3 - tilt	1
9227-73828	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Game view - not started 3 - tilt	0	✅ Play	9227-73828	Game view - not started 3 - tilt	1
9227-74080	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	play	(catalogued frame)	Game view - not started 3 - outcome	0	✅ Play	9227-74080	Game view - not started 3 - outcome	1
9003-79081	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	plinko	FRAME	main	1	✅ Plinko - Skai originals	9003-79079	Skai > Play > Casino > Plinko (1440 x 900px)	1
9003-79085	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	plinko	FRAME	Frame 345	5	✅ Plinko - Skai originals	9003-79079	Skai > Play > Casino > Plinko (1440 x 900px)	1
9003-79147	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	plinko	FRAME	Frame 270	6	✅ Plinko - Skai originals	9003-79079	Skai > Play > Casino > Plinko (1440 x 900px)	1
9095-4812	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	screen	plinko	(catalogued frame)	Plinko Hard Mode	0	✅ Plinko - Skai originals	9095-4812	Plinko Hard Mode	1
9104-6850	M6r9FEn042UWTQD1zvy6GM	M6r9FEn042UWTQD1zvy6GM	child	plinko	FRAME	Plinko Easy Mode	6	✅ Plinko - Skai originals	9003-79079	Skai > Play > Casino > Plinko (1440 x 900px)	1
3269-17599	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict - layout 2 ALT (1440 x 900px)	0	✅ Predict	3269-17599	Skai > Predict - layout 2 ALT (1440 x 900px)	1
3288-23300	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict > sample market 1VH (1440 x 900px)	0	✅ Predict	3288-23300	Skai > Predict > sample market 1VH (1440 x 900px)	1
3288-23301	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	main	1	✅ Predict	3288-23300	Skai > Predict > sample market 1VH (1440 x 900px)	1
3294-24639	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Header-two-layer	0	✅ Predict	3294-24639	Header-two-layer	1
3325-19591	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict > sample market - all expanded (1440 x 900px)	0	✅ Predict	3325-19591	Skai > Predict > sample market - all expanded (1440 x 900px)	1
3344-30618	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict > breaking > sample market 2 (1440 x 900px)	0	✅ Predict	3344-30618	Skai > Predict > breaking > sample market 2 (1440 x 900px)	1
3350-32943	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict > new (1440 x 900px)	0	✅ Predict	3350-32943	Skai > Predict > new (1440 x 900px)	1
3350-32945	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	main	1	✅ Predict	3350-32943	Skai > Predict > new (1440 x 900px)	1
3358-34467	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict > politics (1440 x 900px)	0	✅ Predict	3358-34467	Skai > Predict > politics (1440 x 900px)	1
3358-34469	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	main	1	✅ Predict	3358-34467	Skai > Predict > politics (1440 x 900px)	1
3358-34470	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	Prediction markets	2	✅ Predict	3358-34467	Skai > Predict > politics (1440 x 900px)	1
3445-64375	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict > sports (1440 x 900px)	0	✅ Predict	3445-64375	Skai > Predict > sports (1440 x 900px)	1
3445-64377	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	main	1	✅ Predict	3445-64375	Skai > Predict > sports (1440 x 900px)	1
3447-65971	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	Frame 429	2	✅ Predict	3445-64375	Skai > Predict > sports (1440 x 900px)	1
3450-67210	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	Frame 453	3	✅ Predict	3445-64375	Skai > Predict > sports (1440 x 900px)	1
3456-3142	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict > sports > Futures (1440 x 900px)	0	✅ Predict	3456-3142	Skai > Predict > sports > Futures (1440 x 900px)	1
3471-7574	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	FAQ	3	✅ Predict	3471-7251	Skai > Predict > sports > Futures > Sample futures (1440 x 900px)	1
3531-21220	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict > sports > Futures > Sample futures - with resolved (1440 x 900px)	0	✅ Predict	3531-21220	Skai > Predict > sports > Futures > Sample futures - with resolved (1440 x 900px)	1
3531-21222	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	main	1	✅ Predict	3531-21220	Skai > Predict > sports > Futures > Sample futures - with resolved (1440 x 900px)	1
3538-22735	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict > Crypto (1440 x 900px)	0	✅ Predict	3538-22735	Skai > Predict > Crypto (1440 x 900px)	1
3546-25568	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	screen	predict	(catalogued frame)	Skai > Predict > Finance (1440 x 900px)	0	✅ Predict	3546-25568	Skai > Predict > Finance (1440 x 900px)	1
3553-5222	3sSzw1KewMtUbeLAv7uW0r	3sSzw1KewMtUbeLAv7uW0r	child	predict	FRAME	main	1	✅ Predict	3553-5220	Skai > Predict > Climate and Science (1440 x 900px)	1
